_id,index,id,Year,Type,Country,State,Activity,Sex,Age,Injury
6696ff4dc10ca7acadf71537,0,0,2024,Unprovoked,AUSTRALIA,Queensland,Swimming,F,13,"Minor injuries to back, abdomen and legs"
6696ff4dc10ca7acadf71538,1,1,2024,Unprovoked,USA,Hawaii,Surfing,M,NaN,"No injury, shark bit surfboard"
6696ff4dc10ca7acadf71539,2,2,2024,Unprovoked,USA,Hawaii,Swimming,F,11,Lacerations to left foot
6696ff4dc10ca7acadf7153a,3,3,2024,Unprovoked,AUSTRALIA,Western Australia,NaN,F,46,Leg bitten
6696ff4dc10ca7acadf7153b,4,4,2024,Unprovoked,INDIA,Maharashtra,Fishing,M,32,Calf of lower left leg injured
6696ff4dc10ca7acadf7153c,5,5,2024, Provoked,TRINIDAD,NaN,Spearfishing,M,NaN,Shoulder bitten
6696ff4dc10ca7acadf7153d,6,6,2024,Unprovoked,AUSTRALIA,New  South Wales,Swimming,F,29,Right leg bitten
6696ff4dc10ca7acadf7153e,7,7,2024,Unprovoked,BAHAMAS,Paradise Island,Swimming,M,10,Right leg injured 
6696ff4dc10ca7acadf7153f,8,8,2024,Unprovoked,AUSTRALIA,South Australia,Surfing,M,64,Leg bitten
6696ff4dc10ca7acadf71540,9,9,2024,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing,M,62,Provoked incident. Lacerations and puncture wounds to hand and calf from hooked shark 
6696ff4dc10ca7acadf71541,10,10,2023,Unprovoked,USA,Hawaii,Surfing,M,39,FATAL
6696ff4dc10ca7acadf71542,11,11,2023,Unprovoked,MEXICO,Sonora,Free diving,M,22,FATAL
6696ff4dc10ca7acadf71543,12,12,2023,Unprovoked,AUSTRALIA,South Australia,Surfing,M,15,FATAL
6696ff4dc10ca7acadf71544,13,13,2023,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,16,Injury to right thigh
6696ff4dc10ca7acadf71545,14,14,2023,Unprovoked,AUSTRALIA,Western Australia,Foil Boarding,M,46,Puncture wounds to right ankle
6696ff4dc10ca7acadf71546,15,15,2023,Unprovoked,NEW ZEALAND,South Island,Wading,F,21,Significant injury to leg
6696ff4dc10ca7acadf71547,16,16,2023,Questionable,MEXICO,Guerrero,Swimming,M,66,FATAL
6696ff4dc10ca7acadf71548,17,17,2023,Questionable,MEXICO,Guerrero,Swimming,F,52,Injury to lower left leg
6696ff4dc10ca7acadf71549,18,18,2023,Unprovoked,AUSTRALIA,Queensland,Snorkeling,M,20,Leg severely  injured
6696ff4dc10ca7acadf7154a,19,19,2023,Unprovoked,BAHAMAS,New Providence   Isoad,Paddle boarding,F,44,FATAL
